title,url,type,title_words,title_has_excl,title_caps_percent,negative,positive,type_num
Clinton's Exploited Haiti Earthquake ‘to Steal Billions of Dollars from the Sick and Starving’ ⋆ Freedom Daily,http://freedomdaily.com/former-haitian-senate-president-clintons-exploited-haiti-earthquake-steal-billions-dollars-sick-starving/,fake,17,FALSE,0,8.47,3.81,1
Donald Trump Jr. Just Pinned A Tweet So Stupid It Will Make Your Eyes Bleed ‹ Opposition Report,http://winningdemocrats.com/donald-trump-jr-just-pinned-a-tweet-so-stupid-it-will-make-your-eyes-bleed/,real,18,FALSE,0,4.74,4.93,0
Michelle Obama NOT Leaving The White House – Hillary Clinton Has Terrifying New Role For Her!?!?,http://rightwingnews.com/top-news/michelle-obama-not-leaving-white-house-hillary-clinton-terrifying-new-role/,fake,16,TRUE,6.25,3.33,5.49,1
Trump hits Clinton on Islamic State: ‘It is time for change’,http://politi.co/2cEsAnL,real,11,FALSE,0,6.09,2.15,0
Australia Voted To Ban Muslims And Liberals Are Pissed,https://goo.gl/p7jFZG,fake,9,FALSE,0,2.66,4.3,1
It’s “Trump is HITLER” Month at the Washington Post – Eagle Rising,http://eaglerising.com/36955/its-trump-is-hitler-month-at-the-washington-post/,real,12,FALSE,8.333333333333332,3.02,2.16,0
Bombing Suspect Filed Anti-Muslim Discrimination Lawsuit Against Police – Eagle Rising,http://eaglerising.com/36871/bombing-suspect-filed-anti-muslim-discrimination-lawsuit-against-police/,fake,11,FALSE,0,4.1,4.1,1
DESPICABLE! Hillary Wants To Put Hero Cop Who Stopped Mall Terror Attack Out Of BUSINESS ⋆ Freedom Daily,http://freedomdaily.com/despicable-hillary-wants-put-hero-cop-stopped-mall-terror-attack-business/,fake,18,TRUE,11.11111111111111,4.63,4.25,1
"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",http://occupydemocrats.com/2016/09/23/bombshell-abc-reveals-trump-paid-hundreds-millions-russian-oligarchs-2/,fake,10,FALSE,10,2.18,4.95,1
Charlotte Police REVEAL What They Said To Black Man Just Moments Before Shooting…,http://rightwingnews.com/top-news/charlotte-police-reveal-said-black-man-just-moments-shooting/,real,13,FALSE,7.6923076923076925,4.22,3.82,0
9 times Ted Cruz insulted Donald Trump before endorsing him,http://politi.co/2cSUHmo,real,10,FALSE,0,3.49,2.55,0
"Two White Men Doused With Gasoline, Set On FIRE By Blacks",http://freedomdaily.com/white-men-set-on-fire-by-blacks-media-censored/,fake,11,FALSE,9.090909090909092,2.96,1.61,1
"President Obama Vetoes 9/11 Victims Bill, Setting Up Showdown With Congress",http://abcn.ws/2dh2NFs,real,11,FALSE,0,3.48,4.1,0
Liberals Are Furious When Reality Star Brody Jenner Tells the Truth About Police Shootings on Twitter,http://rightwingnews.com/top-news/liberals-furious-reality-star-brody-jenner-tells-truth-police-shootings-twitter/,real,16,FALSE,0,2.99,4.99,0
"Terrorist Attacks Will Likely Affect 2016 Presidential Race, Experts Say",http://abcn.ws/2cDjJ92,real,10,FALSE,0,3.2,2.82,0
Magistrate won't order federal arraignment for bombing suspect,http://politi.co/2cS4PJJ,real,8,FALSE,0,3.69,3.94,0
Trump Supreme Court Pick Sued By Feds For Racial Discrimination,http://occupydemocrats.com/2016/09/28/trumps-biggest-silicon-valley-donor-sued-by-feds-for-discrimination/,fake,10,FALSE,0,3.41,7.36,1
How Trump Is Hiding From The Media Like A Total Coward,http://www.addictinginfo.org/2016/09/20/how-trump-is-hiding-from-the-media-like-a-total-coward/,real,11,FALSE,0,2.71,2.98,0
